text,label
"['application', 'say']",PREMISE
"['prosecution', 'case', 'p', 'complainant', 'came', 'house', 'grazing', 'sheep', 'applicant', 'came', 'complainant']",PREMISE
"['complainant', 'trying', 'pull', 'applicant', 'applicant', 'listen', 'anything', 'hit', 'complainant', 'axe', 'right', 'arm', 'complainant', 'threatening']",PREMISE
"['ran', 'away', 'running', 'applicant', 'hit', 'complainant', 'left', 'side', 'forehead']",PREMISE
"['applicant', 'threatening', 'complainant', 'saying', 'finish']",PREMISE
['applicant'],CONCLUSION
"['stated', 'applicant', 'innocent']",PREMISE
"['civil', 'dispute', 'account', 'land', 'applicant', 'complainant']",PREMISE
"['sustained', 'complainant', 'simple', 'nature']",PREMISE
"['complainant', 'hospital', 'next', 'date']",PREMISE
[],PREMISE
"['delay', 'lodging']",PREMISE
"['custodial', 'interrogation', 'applicant', 'necessary']",PREMISE
"['enlarge', 'applicant', 'anticipatory', 'bail']",CONCLUSION
"['prima', 'accusation', 'applicant', 'accused']",PREMISE
"['grievous', 'injury', 'sustained', 'complainant']",PREMISE
"['police', 'want', 'seize', 'axe', 'applicant', 'accused']",PREMISE
"['considering', 'gravity', 'reject', 'application']",CONCLUSION
"['hearing', 'sides', 'complainant', 'sustained', 'grievous', 'injury']",PREMISE
"['want', 'seize', 'axe', 'applicant', 'accused']",PREMISE
"['applicant', 'serious']",PREMISE
"['u', 'punishable', 'imprisonment']",PREMISE
"['looking', 'gravity', 'nature', 'injury', 'sustained', 'complainant', 'desirable', 'grant', 'anticipatory', 'bail']",PREMISE
"['custodial', 'interrogation', 'necessary', 'purpose', 'fair', 'investigation']",PREMISE
"['following', 'order']",CONCLUSION
"['case', 'prosecution', 'complaint', 'son', 'accused', 'previously', 'quarrel', 'took', 'place']",PREMISE
"['complaint', 'police']",PREMISE
"['therefore', 'grudge', 'house']",PREMISE
"['therefore', 'husband', 'made', 'attack', 'house']",PREMISE
"['taken', 'search', 'son', 'thereafter', 'made', 'assault', 'sickle', 'iron', 'rod', 'intention', 'kill', 'serious', 'taking', 'treatment']",PREMISE
"['basis', 'complaint', 'came', 'registered']",PREMISE
[],PREMISE
"['argument', 'stated', 'deceased', 'habitual', 'offender', 'drunkard']",PREMISE
"['motive', 'intention', 'commit', 'murder']",PREMISE
"['incident', 'spur', 'moment']",PREMISE
['investigation'],PREMISE
"['detention', 'necessary']",PREMISE
['criminal'],PREMISE
"['three', 'accused']",PREMISE
"['therefore', 'may', 'bail']",CONCLUSION
"['strongly', 'opposed', 'application']",PREMISE
"['contention', 'serious']",PREMISE
"['punishable', 'life', 'imprisonment']",PREMISE
"['investigation', 'yet']",PREMISE
"['juncture', 'would', 'bail', 'possibility', 'prosecution', 'locality', 'evidence']",PREMISE
"['application', 'may']",CONCLUSION
"['say', 'application']",PREMISE
"['say', 'stated', 'locality']",PREMISE
"['application', 'possibility', 'prosecution']",PREMISE
"['also', 'possibility', 'call', 'would', 'pick', 'quarrel']",PREMISE
"['report', 'property', 'sent', 'analysis']",PREMISE
"['therefore', 'application', 'may']",CONCLUSION
"['part', 'investigation', 'already']",PREMISE
"['three', 'ladies']",PREMISE
"['nothing', 'discovered']",PREMISE
['report'],PREMISE
"['imposing', 'stringent', 'bail']",PREMISE
"['pass', 'following', 'order']",CONCLUSION
"['prosecution', 'case', 'complainant', 'along', 'truck', 'proceeding', 'truck', 'within', 'vicinity', 'one', 'jeep', 'truck', 'came', 'said', 'truck', 'three', 'said', 'jeep', 'complainant', 'truck', 'beat', 'snatched', 'mobile', 'phone', 'cash', 'amount', 'worth', 'also', 'thereafter', 'along', 'truck', 'fled', 'away']",PREMISE
"['learned', 'counsel', 'applicant', 'accused', 'applicant', 'accused', 'falsely']",PREMISE
['section'],PREMISE
"['age', 'unknown', 'accused', 'however', 'present', 'applicant', 'accused', 'old']",PREMISE
"['investigation', 'therefore', 'custodial', 'interrogation', 'applicant', 'accused', 'necessary']",PREMISE
"['applicant', 'accused', 'bail', 'prejudice', 'cause', 'side']",PREMISE
"['hand', 'learned', 'applicant', 'accused', 'serious', 'nature']",PREMISE
"['applicant', 'accused', 'bail', 'commit', 'similar', 'type']",PREMISE
"['applicant', 'accused', 'since', 'last', 'many', 'bail', 'abscond']",PREMISE
"['applicant', 'accused', 'similar', 'type', 'therefore', 'bail', 'application']",PREMISE
"['record', 'prima', 'basis', 'report', 'lodged', 'complainant', 'crime', 'came', 'registered', 'station']",PREMISE
"['moreover', 'complainant', 'driving', 'truck', 'loaded', 'iron', 'pipe', 'proceeding', 'time', 'vicinity', 'people', 'white', 'colour', 'jeep', 'truck', 'giving', 'threat', 'snatched', 'mobile', 'cash', 'amount', 'thereafter', 'loaded', 'truck', 'fled', 'away', 'spot', 'incident', 'thereby', 'punishable', 'u']",PREMISE
"['charge', 'sheet', 'accused', 'also', 'investigating', 'officer']",PREMISE
"['moreover', 'investigating', 'officer', 'present', 'applicant', 'accused']",PREMISE
"['accused', 'already', 'bail']",PREMISE
"['custodial', 'interrogation', 'present', 'applicant', 'necessary']",PREMISE
"['therefore', 'considering', 'view', 'present', 'applicant', 'accused', 'bail', 'certain', 'prejudice', 'prosecution']",CONCLUSION
"['pass', 'following', 'order']",CONCLUSION
"['mother', 'deceased']",PREMISE
"['daughter', 'married', 'accused', 'year']",PREMISE
"['marriage', 'came', 'house', 'delivery', 'year', 'ill', 'treatment', 'accused', 'demand', 'gold', 'chain']",PREMISE
"['accused', 'house']",PREMISE
"['time', 'ill', 'health']",PREMISE
['therefore'],PREMISE
"['carried', 'hospital']",PREMISE
"['examination', 'doctor', 'found', 'burn', 'stomach', 'leg']",PREMISE
"['suffering', 'kidney', 'disease']",PREMISE
"['position', 'give', 'statement', 'therefore', 'lodged', 'report']",PREMISE
"['course', 'treatment', 'death']",PREMISE
"['per', 'report', 'cause', 'death', 'shock', 'following', 'multiple', 'burn']",PREMISE
"['thereby', 'came', 'added', 'matter']",PREMISE
['application'],PREMISE
"['investigation', 'progress']",PREMISE
"['investigation', 'charge', 'sheet']",PREMISE
"['therefore', 'change', 'circumstance']",CONCLUSION
"['old', 'age', 'lady', 'suffering', 'many']",PREMISE
"['going', 'flee', 'away', 'course', 'justice']",PREMISE
"['uptill', 'investigation']",PREMISE
['interim'],PREMISE
"['completion', 'investigation', 'police', 'charge', 'sheet', 'matter']",PREMISE
"['therefore', 'change', 'circumstance']",CONCLUSION
"['extent', 'used', 'ill', 'treat', 'victim']",PREMISE
"['immediate', 'recovery', 'shown']",PREMISE
['lady'],PREMISE
"['interim', 'protection', 'purpose', 'filing', 'main', 'application']",PREMISE
"['prefer', 'pass', 'following', 'order']",CONCLUSION
"['case', 'prosecution', 'p', 'complainant', 'standing', 'outside', 'house']",PREMISE
"['suddenly', 'accused', 'came', 'near', 'carrying', 'wooden', 'sticks', 'accused', 'stopped', 'seeing', 'become', 'arrogant', 'show', 'complainant', 'thereafter', 'snatched', 'wallet', 'damage', 'car', 'complainant', 'also', 'break', 'glass', 'two', 'four', 'damage', 'three', 'two', 'wooden', 'stick']",PREMISE
"['people', 'help']",PREMISE
"['complainant', 'lodged', 'complaint']",PREMISE
"['accordingly', 'came', 'registered']",PREMISE
['came'],PREMISE
[],PREMISE
"['applicant', 'argument', 'stated', 'applicant', 'innocent']",PREMISE
[],PREMISE
"['punishable', 'death', 'life', 'imprisonment']",PREMISE
"['accused', 'crime', 'already', 'bail']",PREMISE
"['applicant', 'bail', 'ground', 'parity']",PREMISE
"['delay', 'lodging', 'complaint']",PREMISE
"['investigation', 'almost']",PREMISE
"['detention', 'jail', 'necessary']",PREMISE
"['may', 'bail']",CONCLUSION
"['strongly', 'opposed', 'application']",PREMISE
"['contention', 'applicant', 'accused', 'armed', 'wooden']",PREMISE
"['terror', 'mind', 'complainant', 'wallet']",PREMISE
"['damage', 'four', 'two', 'complainant', 'tenant', 'vicinity']",PREMISE
"['investigation', 'yet']",PREMISE
"['possibility', 'prosecution', 'evidence']",PREMISE
"['application', 'may']",CONCLUSION
"['day', 'cash', 'amount', 'accused']",PREMISE
"['already', 'wooden', 'accused']",PREMISE
"['nothing', 'discovered']",PREMISE
"['detention', 'applicant', 'necessary', 'till', 'filing', 'charge', 'sheet']",PREMISE
"['therefore', 'pass', 'following', 'order']",CONCLUSION
"['victim', 'aged', 'lodged', 'report', 'thereafter', 'also', 'forcible', 'sexual', 'intercourse', 'time', 'time', 'car', 'result', 'pregnant']",PREMISE
"['supplementary', 'statement', 'stated', 'examination', 'house', 'friend', 'accused', 'came', 'next', 'day', 'also', 'accused', 'came', 'house', 'friend', 'friend', 'victim', 'accused']",PREMISE
"['thereafter', 'instance', 'went', 'house', 'accused']",PREMISE
"['accused', 'alone', 'house']",PREMISE
"['went', 'away']",PREMISE
"['accused', 'house', 'two', 'present', 'applicant', 'came', 'along', 'liquor', 'accused', 'drink', 'though']",PREMISE
"['accused', 'forcible', 'sexual', 'intercourse']",PREMISE
"['thereafter', 'present', 'applicant', 'accused', 'also', 'forcible', 'sexual', 'intercourse', 'one', 'one', 'though']",PREMISE
"['according', 'applicant', 'falsely', 'case']",PREMISE
['applicant'],PREMISE
"['total', 'variance', 'supplementary', 'statement', 'victim']",PREMISE
"['delay', 'lodging', 'report']",PREMISE
"['family', 'depending']",PREMISE
['concerned'],PREMISE
"['reputed', 'person', 'resident', 'criminal']",PREMISE
"['due', 'punishable', 'section', 'section', 'apprehension', 'mind', 'arrest']",PREMISE
"['grant', 'protection', 'section']",CONCLUSION
"['application', 'ground', 'investigation', 'progress']",PREMISE
"['accused', 'act', 'forcible', 'sexual', 'intercourse', 'victim', 'one', 'one']",PREMISE
"['medical', 'examination', 'victim', 'applicant']",PREMISE
"['statement', 'victim']",PREMISE
['yet'],PREMISE
"['absconded', 'possibility']",PREMISE
['section'],PREMISE
['accused'],PREMISE
"['material', 'information', 'applicant']",PREMISE
"['allegation', 'giving', 'intoxicant', 'victim', 'drink']",PREMISE
"['investigation', 'regard', 'going']",PREMISE
"['test', 'applicant']",PREMISE
"['threatening', 'victim', 'family']",PREMISE
"['investigation', 'going', 'reject', 'application']",CONCLUSION
"['applicant', 'serious']",PREMISE
"['revealed', 'one']",PREMISE
"['supplementary', 'statement', 'victim', 'detail', 'present', 'applicant']",PREMISE
"['accused', 'gave', 'drink', 'victim', 'mixed', 'intoxicant', 'forcibly', 'sexual', 'intercourse']",PREMISE
"['two', 'applicant', 'e', 'present', 'applicant', 'accused', 'also', 'similar', 'act', 'victim']",PREMISE
"['considering', 'gravity', 'material', 'information', 'applicant']",PREMISE
['medical'],PREMISE
"['context', 'applicant', 'authority', 'considering', 'anticipatory', 'bail', 'application', 'try', 'maintain', 'fine', 'balance', 'societal', 'interest', 'vis', 'vis', 'liberty', 'fundamental', 'principle', 'criminal', 'jurisprudence', 'accused', 'innocent', 'till', 'found', 'guilty']",PREMISE
"['laid', 'ruling', 'noted']",PREMISE
"['far', 'concerned', 'medical', 'examination', 'necessary', 'information', 'applicant']",PREMISE
"['therefore', 'custodial', 'interrogation', 'applicant']",CONCLUSION
"['case', 'hand', 'supplementary', 'statement', 'victim', 'prima', 'involvement', 'applicant']",PREMISE
"['previously', 'absconded']",PREMISE
"['gave', 'victim', 'family']",PREMISE
"['possibility', 'giving', 'threat', 'pressure', 'applicant', 'victim']",PREMISE
"['considering', 'gravity', 'proper', 'grant', 'protection', 'applicant', 'section', 'procedure']",PREMISE
"['due', 'application', 'following', 'order']",PREMISE
"['victim', 'aged', 'lodged', 'report', 'since', 'acquainted', 'applicant']",PREMISE
"['talking', 'meeting']",PREMISE
"['applicant', 'victim', 'told']",PREMISE
"['applicant', 'friend', 'met', 'victim', 'applicant', 'victim', 'come', 'front', 'went', 'shopping', 'p', 'applicant', 'left', 'victim', 'near', 'house']",PREMISE
"['evening', 'p', 'applicant', 'made', 'phone', 'call', 'victim', 'go', 'wandering', 'applicant', 'friend', 'came', 'victim', 'went']",PREMISE
"['friend', 'victim', 'also', 'four', 'went', 'wandering']",PREMISE
"['due', 'late', 'night', 'applicant', 'friend', 'victim', 'friend', 'reside', 'house']",PREMISE
"['victim', 'friend', 'applicant', 'friend', 'took', 'car']",PREMISE
"['house', 'applicant', 'victim', 'went', 'one', 'bedroom', 'friend', 'victim', 'went', 'another', 'bedroom']",PREMISE
"['bedroom', 'applicant', 'forcible', 'sexual', 'intercourse', 'victim', 'pretext', 'marriage']",PREMISE
"['aged', 'relevant', 'time']",PREMISE
"['applicant', 'took', 'victim', 'wandering', 'act', 'sexual', 'intercourse', 'repeated', 'time', 'time']",PREMISE
"['thereafter', 'rented', 'flat', 'one', 'month', 'since']",PREMISE
"['period', 'applicant', 'sexual', 'intercourse', 'victim']",PREMISE
"['victim', 'menstrual', 'period', 'revealed', 'pregnant']",PREMISE
"['abortion', 'trusting', 'aborted']",PREMISE
"['later', 'repeatedly', 'applicant', 'marriage']",PREMISE
"['learnt', 'applicant', 'got', 'married']",PREMISE
"['according', 'applicant', 'falsely', 'case']",PREMISE
"['delay', 'lodging', 'report']",PREMISE
"['case', 'love', 'affair']",PREMISE
['career'],PREMISE
['criminal'],PREMISE
"['due', 'punishable', 'section', 'j', 'n', 'section', 'apprehension', 'mind', 'arrest']",PREMISE
"['ready', 'abide', 'condition']",PREMISE
"['grant', 'protection', 'section']",CONCLUSION
"['strongly', 'application', 'ground', 'investigation', 'progress']",PREMISE
"['operate', 'investigation']",PREMISE
"['medical', 'examination']",PREMISE
"['tamper', 'prosecution', 'evidence']",PREMISE
"['reject', 'application']",CONCLUSION
"['applicant', 'serious']",PREMISE
"['role', 'applicant']",PREMISE
"['per', 'birth', 'date', 'victim']",PREMISE
"['therefore', 'applicant', 'age', 'sufficient', 'maturity', 'act']",CONCLUSION
"['due', 'love', 'affair', 'applicant', 'one', 'month']",PREMISE
"['living', 'relationship', 'force', 'victim', 'applicant']",PREMISE
"['context', 'applicant', 'unreported', 'prosecutrix', 'age', 'understanding', 'free', 'applicant', 'custodial', 'interrogation']",PREMISE
"['firstly', 'ad', 'interim', 'protection', 'confirmed']",PREMISE
"['appear', 'prima', 'complainant', 'forced', 'keep', 'sexual', 'relationship', 'really', 'induced', 'extent', 'option', 'keep', 'physical', 'relationship', 'applicant', 'consensual', 'relationship']",PREMISE
"['even', 'though', 'promise', 'marry', 'girl', 'keep', 'physical', 'relationship', 'boy', 'promise', 'psychologically', 'comfortable', 'bring', 'particular', 'act', 'within', 'purview', 'section']",PREMISE
"['matter', 'also', 'complainant', 'pregnant', 'may', 'adopt', 'legal', 'recourse', 'right', 'child']",PREMISE
"['choice', 'mother']",PREMISE
"['laid', 'noted']",PREMISE
"['considering', 'birth', 'date', 'victim', 'prima', 'age', 'understanding']",PREMISE
"['applicant', 'meeting', 'frequently']",PREMISE
"['time', 'first', 'incident', 'victim', 'applicant', 'separately', 'went', 'one', 'bedroom', 'act']",PREMISE
"['first', 'incident', 'complain', 'act', 'repeated', 'time', 'time']",PREMISE
"['applicant', 'one', 'month', 'rented', 'flat']",PREMISE
"['considered', 'considering', 'age', 'future', 'applicant', 'proper', 'grant', 'protection']",PREMISE
"['apprehension', 'mind', 'reasonable']",PREMISE
"['considering', 'nature', 'grounds', 'police', 'reply', 'strict', 'attendance', 'given', 'suffice', 'purpose']",PREMISE
"['material', 'grounds', 'raised', 'reply']",PREMISE
