ARGUMENT,TYPE
[2] Perused the application and say filed by the I.O. Heard the Ld. Counsel for the Applicant and Ld. APP for the State.,PREMISE
"[3] The prosecution case is that on 03.12.2018 at about 05.30 p.m. when the complainant Bhivram Ingle came to his house after grazing the sheep, the applicant came there and started abusing the complainant.",PREMISE
"The complainant was trying to pull down the applicant, but the applicant did not listen anything and hit the complainant with the axe on the right arm of the complainant and started threatening him.",PREMISE
Complainant ran away and while running the applicant hit the complainant with the gilory on the left side of the forehead.,PREMISE
"Then the applicant started abusing and threatening the complainant by saying that, he will finish him.",PREMISE
"On these allegations, the applicant prosecuted.",CONCLUSION
[4] The Ld. Counsel for Applicant stated that the applicant is innocent and has not committed any offence.,PREMISE
There is a civil dispute on account of land in between the applicant and complainant.,PREMISE
The injuries sustained to the complainant are simple in nature.,PREMISE
The complainant has been discharged from the hospital on the very next date.,PREMISE
The ingredients of Section 326 of I.P.C. is not attracted.,PREMISE
There is delay in lodging FIR.,PREMISE
The custodial interrogation of the applicant is not necessary.,PREMISE
"Hence, prayed to enlarge the applicant on anticipatory bail.",CONCLUSION
"[5] The Ld. APP for the State submitted that, there is prima facie accusation against the applicant/accused.",PREMISE
The grievous injury sustained to the complainant.,PREMISE
The police want to seize axe and gilory from the applicant/accused.,PREMISE
"Considering the gravity of the offence, he prayed to reject the application.",CONCLUSION
"[6] After hearing the submissions of both the sides, it reveals that, the complainant sustained grievous injury.",PREMISE
The I.O. want to seize axe and gilory from the applicant/accused.,PREMISE
The allegations against the applicant are serious.,PREMISE
The offence u/s. 326 of IPC is punishable with imprisonment up to 10 years.,PREMISE
"Looking to the gravity of the offence, and nature of injury sustained to the complainant,it is not desirable to grant anticipatory bail.",PREMISE
His custodial interrogation is necessary for the purpose of fair investigation.,PREMISE
"Hence, following order :­",CONCLUSION
"2] It is the case of prosecution that, Balasaheb Sonawane filed complaint that in between his son Akshay Sonawane and accused previously quarrel took place.",PREMISE
"Hence, complaint was filed with police chowky.",PREMISE
"Therefore, Akshay was having grudge and he pelted stones against the house of Laxmi Thorat.",PREMISE
"Therefore, her husband Madhukar Thorat and his 2­3 associates made attack on the house of Complainant.",PREMISE
"They had taken search of his son Akshay and thereafter they had made assault by means of sickle and iron rod with an intention to kill and caused serious injuries to him and while taking treatment in Sassoon Hospital, Pune he succumbed to the injuries.",PREMISE
"On the basis of that complaint, this offence was came to be registered.",PREMISE
Applicants are arrested on 03/12/2018.,PREMISE
3] Advocate for the applicants in his argument stated that deceased Akshay was habitual offender and drunkard.,PREMISE
There was 2 no motive or intention of applicants to commit his murder.,PREMISE
The incident was happened in spur of moment.,PREMISE
Investigation has been completed .,PREMISE
Further detention of the applicants is not necessary.,PREMISE
There are no criminal antecedents against them.,PREMISE
All these three accused are housewives.,PREMISE
"Therefore, they may be released on bail.",CONCLUSION
4] Ld. DGP strongly opposed this application.,PREMISE
It is her contention that offence is serious.,PREMISE
It is punishable upto life imprisonment.,PREMISE
Investigation is not yet completed.,PREMISE
"At this juncture if these applicants would be released on bail, there is possibility of tampering the prosecution witnesses who are residents of same locality and evidence.",PREMISE
"Hence, this application may be rejected.",CONCLUSION
5] IO filed say to this application.,PREMISE
In his say he has stated that the applicants and witnesses are residents of same locality.,PREMISE
"If this application will be allowed, there is possibility of tampering prosecution witnesses.",PREMISE
So also possibility cannot be ruled out that applicants will call their relatives and again would pick up quarrel.,PREMISE
CA report is awaited with muddemal property sent for analysis.,PREMISE
"Therefore, this application may be rejected.",CONCLUSION
6] Major part of the investigation is already completed.,PREMISE
All these three applicants are ladies.,PREMISE
Nothing remained to be recovered or discovered from them.,PREMISE
Only CA report is awaited.,PREMISE
"By imposing stringent conditions on them, they can be released on bail.",PREMISE
"Hence, I pass the following order.",CONCLUSION
"Prosecution case is that on 08/03/2009 at about 04 a.am., complainant­Yuvraj Gade along with his truck was proceeding from Mumbai to Pune, and when his truck within the vicinity of Wadgaon Maval, one Qualis jeep by overtaking the truck, came in frontof said truck, three persons alighted from the said jeep, and pulled out complainant from the truck, beat him and snatched his mobile phone, cash amount and other documents worth Rs.5,59,883/­ and also kidnapped him, thereafter, along with truck,fled away.",PREMISE
Learned counsel for applicant/accused submitted that applicant/accused has not committed any offence and he has been falsely implicated in this offence.,PREMISE
He further submitted that section 395 of IPC is not attracted.,PREMISE
"He further submitted that in the FIR, age of unknown accused persons is mentioned in between 20 to 25 years, however, present applicant/accused is 55 years old.",PREMISE
"He further submitted that investigation is completed, therefore, custodial interrogation of the applicant/accused is not necessary.",PREMISE
"He further submitted that if applicant/accused is released on bail, no prejudice will cause to other side.",PREMISE
"On other hand, learned APP submitted that offence alleged against applicant/accused is serious in nature.",PREMISE
"He further submitted that if applicant/accused is released on bail, he will again commit similar type of offence.",PREMISE
"He further submitted that applicant/accused is absconding since last many years, if he released on bail, he will again abscond.",PREMISE
"He further submitted that applicant/accused has committed similar type of offence, therefore, his bail application be rejected.",PREMISE
"On perusing record, prima faice, it reveals that on the basis of report lodged by complainant, crime No.44/2009 came to be registered at Vadgaon Maval Police station on 08/03/2009.",PREMISE
"Moreover in the FIR, it is alleged that on 08/03/2009, complainant was driving the truck, which was loaded with iron pipe and proceeding from Mumbai to Pune, at that time, in the vicinity of Vadgaon Maval, some people arrived by white colour jeep, obstructed his truck and by giving threat to him, kidnapped him, snatched his mobile, cash amount and other documents, and thereafter, with impugned loaded truck, fled away from the spot of incident, thereby committed offence punishable u/s. 395 of the Indian Penal Code.",PREMISE
It appears that charge sheet against co­accused is also filed by Investigating officer.,PREMISE
"Moreover, Investigating officer has arrested to present applicant/accused on 15/11/2018.",PREMISE
Co­accused are already released on bail.,PREMISE
"Prima facie, it reveals that custodial interrogation of the present applicant is now not necessary.",PREMISE
"Therefore, considering all these aspects, in my view if present applicant ­accused is released on bail on certain conditions, no prejudice will be caused to the prosecution.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
2] Informant Shanta Pawar is mother of deceased Monika.,PREMISE
"She alleged that, her daughter Monika married with co­accused Somnath Jadhav in the year 2017.",PREMISE
"After marriage, when Monika came to her house for delivery in the year 2017, she alleged about ill­ treatment of all accused for demand of her gold chain (mangalsutra).",PREMISE
"Then, on 12/08/2018 co­accused Somnath Jadhav dropped Monika in their house.",PREMISE
"That time, Monika complained about ill­health.",PREMISE
"Therefore, on 13/08/2018, at about 11.30 am.",PREMISE
Informant and relatives carried Monika to Ratna hospital.,PREMISE
On examination doctor found burn marks on stomach and leg of Monika.,PREMISE
Monika was suffering from kidney disease.,PREMISE
"But she was not in a position to give statement therefore, Informant lodged report on 13/08/2018.",PREMISE
"Then, during course of treatment on 14/08/2018, Monika succumbed to death.",PREMISE
"As per postmortem report, cause of death is Septicemic shock following multiple burn injuries.",PREMISE
"Thereby, offence under Section 302 of Indian Penal Code came to be added in this matter.",PREMISE
"3] Applicant submits that, her earlier application vide Cri.",PREMISE
"Bail Application No. 3992/2018 was rejected, because investigation was in progress.",PREMISE
"But, now investigation has been completed and charge­sheet has been filed.",PREMISE
"Therefore, there is change in circumstance.",CONCLUSION
"4] She further submits that, she is old age lady suffering from many ailments.",PREMISE
She is not going to flee away from course of justice.,PREMISE
Uptill now she co­operated in investigation.,PREMISE
"Hence, she prays for Ad­interim Anticipatory Bail.",PREMISE
"6] Now, on completion of investigation, police have filed charge­sheet in the matter.",PREMISE
"Therefore, there is change in circumstance.",CONCLUSION
"Allegations against Applicant are to the extent that, Applicant used to ill­treat victim Monika.",PREMISE
But no immediate recovery is shown against Applicant.,PREMISE
Applicant is a lady.,PREMISE
"If interim protection is not granted, the purpose of filing of main application will be frustrated.",PREMISE
"Hence, I prefer to pass following Order.",CONCLUSION
"2] It is the case of prosecution that, on 07/11/2018 at 10.30 p.m. when complainant was standing outside his house.",PREMISE
